route,date,type
3,2026-01-07,matavfall
3,2026-01-14,restavfall
3,2026-01-21,papir
3,2026-01-23,glass
3,2026-01-28,restavfall
3,2026-02-04,matavfall
3,2026-02-11,restavfall
3,2026-02-18,papir
3,2026-02-25,restavfall
3,2026-03-04,matavfall
3,2026-03-11,restavfall
3,2026-03-18,papir
3,2026-03-20,glass
3,2026-03-25,restavfall
3,2026-03-31,matavfall
3,2026-04-09,restavfall
3,2026-04-15,papir
3,2026-04-22,restavfall
3,2026-04-29,matavfall
3,2026-05-06,restavfall
3,2026-05-13,papir
3,2026-05-20,restavfall
3,2026-05-28,matavfall
3,2026-06-03,restavfall
3,2026-06-05,glass
3,2026-06-10,papir
3,2026-06-17,restavfall
3,2026-06-24,matavfall
3,2026-07-01,restavfall
3,2026-07-08,papir
3,2026-07-15,restavfall
3,2026-07-22,matavfall
3,2026-07-29,restavfall
3,2026-08-05,papir
3,2026-08-12,restavfall
3,2026-08-14,glass
3,2026-08-19,matavfall
3,2026-08-26,restavfall
3,2026-09-02,papir
3,2026-09-09,restavfall
3,2026-09-16,matavfall
3,2026-09-23,restavfall
3,2026-09-30,papir
3,2026-10-07,restavfall
3,2026-10-14,matavfall
3,2026-10-21,restavfall
3,2026-10-28,papir
3,2026-11-04,restavfall
3,2026-11-11,matavfall
3,2026-11-18,restavfall
3,2026-11-20,glass
3,2026-11-25,papir
3,2026-12-02,restavfall
3,2026-12-09,matavfall
3,2026-12-16,restavfall
3,2026-12-22,papir
3,2026-12-30,restavfall
