route,date,type
4,2026-01-02,restavfall
4,2026-01-08,matavfall
4,2026-01-15,restavfall
4,2026-01-22,papir
4,2026-01-29,restavfall
4,2026-01-30,glass
4,2026-02-05,matavfall
4,2026-02-12,restavfall
4,2026-02-19,papir
4,2026-02-26,restavfall
4,2026-03-05,matavfall
4,2026-03-12,restavfall
4,2026-03-19,papir
4,2026-03-26,restavfall
4,2026-04-01,matavfall
4,2026-04-10,restavfall
4,2026-04-16,papir
4,2026-04-17,glass
4,2026-04-23,restavfall
4,2026-04-30,matavfall
4,2026-05-07,restavfall
4,2026-05-15,papir
4,2026-05-21,restavfall
4,2026-05-29,matavfall
4,2026-06-04,restavfall
4,2026-06-11,papir
4,2026-06-12,glass
4,2026-06-18,restavfall
4,2026-06-25,matavfall
4,2026-07-02,restavfall
4,2026-07-09,papir
4,2026-07-16,restavfall
4,2026-07-23,matavfall
4,2026-07-30,restavfall
4,2026-08-06,papir
4,2026-08-13,restavfall
4,2026-08-20,matavfall
4,2026-08-21,glass
4,2026-08-27,restavfall
4,2026-09-03,papir
4,2026-09-10,restavfall
4,2026-09-17,matavfall
4,2026-09-24,restavfall
4,2026-10-01,papir
4,2026-10-08,restavfall
4,2026-10-15,matavfall
4,2026-10-22,restavfall
4,2026-10-29,papir
4,2026-11-05,restavfall
4,2026-11-12,matavfall
4,2026-11-19,restavfall
4,2026-11-26,papir
4,2026-11-27,glass
4,2026-12-03,restavfall
4,2026-12-10,matavfall
4,2026-12-16,restavfall
4,2026-12-23,papir
4,2026-12-31,restavfall
