route,date,type
2,2026-01-06,matavfall
2,2026-01-13,restavfall
2,2026-01-16,glass
2,2026-01-20,papir
2,2026-01-27,restavfall
2,2026-02-03,matavfall
2,2026-02-10,restavfall
2,2026-02-17,papir
2,2026-02-24,restavfall
2,2026-03-03,matavfall
2,2026-03-10,restavfall
2,2026-03-13,glass
2,2026-03-17,papir
2,2026-03-24,restavfall
2,2026-03-30,matavfall
2,2026-04-08,restavfall
2,2026-04-14,papir
2,2026-04-22,restavfall
2,2026-04-28,matavfall
2,2026-05-05,restavfall
2,2026-05-12,papir
2,2026-05-19,restavfall
2,2026-05-22,glass
2,2026-05-27,matavfall
2,2026-06-02,restavfall
2,2026-06-09,papir
2,2026-06-16,restavfall
2,2026-06-23,matavfall
2,2026-06-30,restavfall
2,2026-07-07,papir
2,2026-07-14,restavfall
2,2026-07-21,matavfall
2,2026-07-28,restavfall
2,2026-08-04,papir
2,2026-08-07,glass
2,2026-08-11,restavfall
2,2026-08-18,matavfall
2,2026-08-25,restavfall
2,2026-09-01,papir
2,2026-09-08,restavfall
2,2026-09-15,matavfall
2,2026-09-22,restavfall
2,2026-09-29,papir
2,2026-10-06,restavfall
2,2026-10-13,matavfall
2,2026-10-27,papir
2,2026-10-20,restavfall
2,2026-11-03,restavfall
2,2026-11-10,matavfall
2,2026-11-17,restavfall
2,2026-11-13,glass
2,2026-11-24,papir
2,2026-12-01,restavfall
2,2026-12-08,matavfall
2,2026-12-15,restavfall
2,2026-12-21,papir
2,2026-12-29,restavfall
